"area_code","simple_area_name"
"PE","中正紀念堂"
"PTE","交通用地類"
"PTC","交通用地類"
"PTA","交通用地類"
"PTG2","交通用地類"
"PTB","交通用地類"
"PTA8","交通用地類"
"PTA3","交通用地類"
"PTD","交通用地類"
"PTG3","交通用地類"
"PTAA","交通用地類"
"PTE4","交通用地類"
"PTA4","交通用地類"
"PTA1","交通用地類"
"PTA6","交通用地類"
"PTA5","交通用地類"
"PTG1","交通用地類"
"PTE5","交通用地類"
"R4","住宅用地類"
"R3A","住宅用地類"
"R2","住宅用地類"
"R31","住宅用地類"
"R32A","住宅用地類"
"RD","住宅用地類"
"R21A","住宅用地類"
"REB","住宅用地類"
"RR4","住宅用地類"
"RF","住宅用地類"
"R","住宅用地類"
"R3","住宅用地類"
"RED","住宅用地類"
"RG","住宅用地類"
"REC","住宅用地類"
"R31A","住宅用地類"
"RB","住宅用地類"
"RH","住宅用地類"
"R41A","住宅用地類"
"R1","住宅用地類"
"R5","住宅用地類"
"RR","住宅用地類"
"R4A","住宅用地類"
"REA","住宅用地類"
"RA","住宅用地類"
"R2A","住宅用地類"
"R3B","住宅用地類"
"RAA","住宅用地類"
"RC","住宅用地類"
"R22","住宅用地類"
"R21","住宅用地類"
"R32","住宅用地類"
"R41","住宅用地類"
"KD","保存區"
"K5","保存區"
"K","保存區"
"K2","保存區"
"K1","保存區"
"K3","保存區"
"T","保護區"
"PEC1","兒童遊樂場"
"PDA2","其他"
"O4","其他"
"PDB","其他"
"PUC","其他"
"D15","其他"
"PUB1","其他"
"PUE5","其他"
"PUF1","其他"
"PUE4","其他"
"PUF2","其他"
"PDA","其他"
"PUE3","其他"
"PUF","其他"
"PUE2","其他"
"PUB3","其他"
"D16","其他"
"PUC1","其他"
"PUA","其他"
"PED1","其他"
"PDA1","其他"
"CEJ","其他"
"PPA","其他"
"PUD","其他"
"陽明山公園","其他"
"PED2","其他"
"G","其他"
"PUB","其他"
"PDB1","其他"
"PPB","其他"
"PA2","其他"
"S1","其他"
"PUE","其他"
"PPC","其他"
"PUG","其他"
"PUE1","其他"
"PED","其他"
"O6A","其他"
"PA1","其他"
"PEC3","動物園用地"
"BB","商業用地類"
"B4","商業用地類"
"B2","商業用地類"
"B5","商業用地類"
"BB7","商業用地類"
"BAB","商業用地類"
"BB1","商業用地類"
"B2A","商業用地類"
"B3","商業用地類"
"B","商業用地類"
"B1","商業用地類"
"B4A","商業用地類"
"B3A","商業用地類"
"BAG","商業用地類"
"BAI","商業用地類"
"BAA","商業用地類"
"BAH","商業用地類"
"BS","商業用地類"
"B1A","商業用地類"
"BAF","商業用地類"
"B3B","商業用地類"
"BAC","商業用地類"
"BB8","商業用地類"
"F","娛樂區"
"F6","娛樂區"
"D","專用區類"
"D7","專用區類"
"O1","專用區類"
"D12","專用區類"
"D17","專用區類"
"D24","專用區類"
"D25","專用區類"
"D18","專用區類"
"D23","專用區類"
"D13","專用區類"
"D22","專用區類"
"D3","專用區類"
"D26","專用區類"
"D6","專用區類"
"D10","專用區類"
"D4A","專用區類"
"D8","專用區類"
"D5","專用區類"
"D21","專用區類"
"D20","專用區類"
"D19","專用區類"
"D9","專用區類"
"G01","專用區類"
"D4","專用區類"
"IGC","工業區類"
"IH","工業區類"
"I3","工業區類"
"I2","工業區類"
"IF","工業區類"
"IC","工業區類"
"IGA","工業區類"
"IDA","工業區類"
"IGD","工業區類"
