city,site_id,road
縣市名稱,行政區域名稱,路名
金門縣,金門縣金城鎮,大古崗
金門縣,金門縣金城鎮,小古崗
金門縣,金門縣金城鎮,小西門
金門縣,金門縣金城鎮,山前
金門縣,金門縣金城鎮,中興市場
金門縣,金門縣金城鎮,中興路
金門縣,金門縣金城鎮,中環路
金門縣,金門縣金城鎮,民生路
金門縣,金門縣金城鎮,民族路
金門縣,金門縣金城鎮,民權路
金門縣,金門縣金城鎮,光前路
金門縣,金門縣金城鎮,西海路
金門縣,金門縣金城鎮,西湖路
金門縣,金門縣金城鎮,伯玉路
金門縣,金門縣金城鎮,吳厝
金門縣,金門縣金城鎮,官裡
金門縣,金門縣金城鎮,官路邊
金門縣,金門縣金城鎮,東沙
金門縣,金門縣金城鎮,林湖路
金門縣,金門縣金城鎮,泗湖
金門縣,金門縣金城鎮,金山路
金門縣,金門縣金城鎮,金門城
金門縣,金門縣金城鎮,前水頭
金門縣,金門縣金城鎮,後豐港
金門縣,金門縣金城鎮,夏墅
金門縣,金門縣金城鎮,桃園路
金門縣,金門縣金城鎮,浯江北堤路
金門縣,金門縣金城鎮,浯江街
金門縣,金門縣金城鎮,浯江路
金門縣,金門縣金城鎮,浴井
金門縣,金門縣金城鎮,珠山
金門縣,金門縣金城鎮,珠水路
金門縣,金門縣金城鎮,珠埔北路
金門縣,金門縣金城鎮,珠埔東路
金門縣,金門縣金城鎮,珠浦北路
金門縣,金門縣金城鎮,珠浦西路
金門縣,金門縣金城鎮,珠浦東路
金門縣,金門縣金城鎮,珠浦南路
金門縣,金門縣金城鎮,庵前
金門縣,金門縣金城鎮,莒光大橋路
金門縣,金門縣金城鎮,莒光路
金門縣,金門縣金城鎮,菜市場路
金門縣,金門縣金城鎮,模範街
金門縣,金門縣金城鎮,歐厝
金門縣,金門縣金城鎮,歐濱路
金門縣,金門縣金城鎮,賢城路
金門縣,金門縣金城鎮,賢聚
金門縣,金門縣金城鎮,環島北路
金門縣,金門縣金城鎮,環島西路
金門縣,金門縣金城鎮,環島南路
金門縣,金門縣金城鎮,謝厝
金門縣,金門縣金沙鎮,三民路
金門縣,金門縣金沙鎮,下塘頭
金門縣,金門縣金沙鎮,大地
金門縣,金門縣金沙鎮,山后
金門縣,金門縣金沙鎮,山西
金門縣,金門縣金沙鎮,中興街
金門縣,金門縣金沙鎮,中蘭
金門縣,金門縣金沙鎮,五福街
金門縣,金門縣金沙鎮,仁愛街
金門縣,金門縣金沙鎮,文化路
金門縣,金門縣金沙鎮,斗門
金門縣,金門縣金沙鎮,玉章路
金門縣,金門縣金沙鎮,田浦
金門縣,金門縣金沙鎮,田墩
金門縣,金門縣金沙鎮,光華路
