city,site,road
臺北市,松山區,三民路
臺北市,松山區,五常街
臺北市,松山區,健康路
臺北市,松山區,光復北路
臺北市,松山區,光復南路
臺北市,松山區,八德路
臺北市,松山區,北寧路
臺北市,松山區,南京東路
臺北市,松山區,吉祥路
臺北市,松山區,基隆路
臺北市,松山區,塔悠路
臺北市,松山區,富錦街
臺北市,松山區,寧安街
臺北市,松山區,寶清街
臺北市,松山區,市民大道
臺北市,松山區,延吉街
臺北市,松山區,延壽街
臺北市,松山區,復興北路
臺北市,松山區,復興南路
臺北市,松山區,慶城街
臺北市,松山區,撫遠街
臺北市,松山區,敦化北路
臺北市,松山區,敦化南路
臺北市,松山區,新中街
臺北市,松山區,新東街
臺北市,松山區,東寧路
臺北市,松山區,東興路
臺北市,松山區,松河街
臺北市,松山區,民族東路
臺北市,松山區,民權東路
臺北市,松山區,民生東路
臺北市,松山區,濱江街
臺北市,松山區,興安街
臺北市,松山區,虎林街
臺北市,松山區,長安東路
臺北市,松山區,長春路
臺北市,松山區,饒河街
臺北市,信義區,中坡北路
臺北市,信義區,中坡南路
臺北市,信義區,仁愛路
臺北市,信義區,信安街
臺北市,信義區,信義路
臺北市,信義區,光復南路
臺北市,信義區,吳興街
臺北市,信義區,和平東路
臺北市,信義區,嘉興街
臺北市,信義區,基隆路
臺北市,信義區,大道路
臺北市,信義區,富陽街
臺北市,信義區,崇德街
臺北市,信義區,市府路
臺北市,信義區,市民大道
臺北市,信義區,忠孝東路
臺北市,信義區,文昌街
臺北市,信義區,景雲街
臺北市,信義區,東興路
臺北市,信義區,松仁路
臺北市,信義區,松信路
臺北市,信義區,松勇路
臺北市,信義區,松勤街
臺北市,信義區,松壽路
臺北市,信義區,松山路
臺北市,信義區,松平路
臺北市,信義區,松廉路
臺北市,信義區,松德路
臺北市,信義區,松智路
臺北市,信義區,松隆路
臺北市,信義區,松高路
臺北市,信義區,林口街
臺北市,信義區,永吉路
臺北市,信義區,瑞雲街
臺北市,信義區,祥雲街
臺北市,信義區,福德街
臺北市,信義區,紫雲街
臺北市,信義區,莊敬路
臺北市,信義區,菸廠路
臺北市,信義區,虎林街
臺北市,信義區,逸仙路
臺北市,信義區,青雲街
臺北市,大安區,仁愛路
臺北市,大安區,信義路
臺北市,大安區,光復南路
臺北市,大安區,八德路
臺北市,大安區,和平東路
臺北市,大安區,嘉興街
臺北市,大安區,四維路
臺北市,大安區,基隆路
臺北市,大安區,大安路
臺北市,大安區,安和路
臺北市,大安區,安居街
臺北市,大安區,安東街
臺北市,大安區,富陽街
臺北市,大安區,市民大道
臺北市,大安區,師大路
臺北市,大安區,延吉街
臺北市,大安區,建國南路
臺北市,大安區,復興南路
臺北市,大安區,忠孝東路
臺北市,大安區,愛國東路
臺北市,大安區,敦化南路
臺北市,大安區,敦南街
臺北市,大安區,文昌街
臺北市,大安區,新生北路
臺北市,大安區,新生南路
臺北市,大安區,杭州南路
臺北市,大安區,東豐街
臺北市,大安區,樂利路
臺北市,大安區,樂業街
臺北市,大安區,永康街
臺北市,大安區,泰順街
臺北市,大安區,浦城街
臺北市,大安區,溫州街
臺北市,大安區,潮州街
臺北市,大安區,濟南路
臺北市,大安區,瑞安街
臺北市,大安區,羅斯福路
臺北市,大安區,臥龍街
臺北市,大安區,臨江街
臺北市,大安區,芳蘭路
臺北市,大安區,辛亥路
臺北市,大安區,通化街
臺北市,大安區,通安街
臺北市,大安區,金山南路
臺北市,大安區,金華街
臺北市,大安區,長興街
臺北市,大安區,雲和街
臺北市,大安區,青田街
臺北市,大安區,麗水街
臺北市,大安區,龍泉街
臺北市,中山區,一江街
臺北市,中山區,中原街
臺北市,中山區,中山北路
臺北市,中山區,五常街
臺北市,中山區,伊通街
臺北市,中山區,八德路
臺北市,中山區,劍南路
臺北市,中山區,北安路
臺北市,中山區,南京東路
臺北市,中山區,南京西路
臺北市,中山區,合江街
臺北市,中山區,吉林路
臺北市,中山區,四平街
臺北市,中山區,基湖路
臺北市,中山區,堤頂大道
臺北市,中山區,大直街
臺北市,中山區,天津街
臺北市,中山區,天祥路
臺北市,中山區,安東街
臺北市,中山區,崇實路
臺北市,中山區,市民大道
臺北市,中山區,建國北路
臺北市,中山區,建國南路
臺北市,中山區,復興北路
臺北市,中山區,復興南路
臺北市,中山區,德惠街
臺北市,中山區,撫順街
臺北市,中山區,敬業一路
臺北市,中山區,敬業三路
臺北市,中山區,敬業二路
臺北市,中山區,敬業四路
臺北市,中山區,新生北路
臺北市,中山區,明水路
臺北市,中山區,朱崙街
臺北市,中山區,松江路
臺北市,中山區,林森北路
臺北市,中山區,植福路
臺北市,中山區,樂群三路
臺北市,中山區,樂群二路
臺北市,中山區,民族東路
臺北市,中山區,民族西路
臺北市,中山區,民權東路
臺北市,中山區,民權西路
臺北市,中山區,民生東路
臺北市,中山區,民生西路
臺北市,中山區,渭水路
臺北市,中山區,濱江街
臺北市,中山區,玉門街
臺北市,中山區,興安街
臺北市,中山區,華陰街
臺北市,中山區,農安街
臺北市,中山區,通北街
臺北市,中山區,遼寧街
臺北市,中山區,錦州街
臺北市,中山區,錦西街
臺北市,中山區,長安東路
臺北市,中山區,長安西路
臺北市,中山區,長春路
臺北市,中山區,雙城街
臺北市,中山區,龍江路
臺北市,中正區,三元街
臺北市,中正區,中山北路
臺北市,中正區,中山南路
臺北市,中正區,中華路
臺北市,中正區,丹陽街
臺北市,中正區,仁愛路
臺北市,中正區,信義路
臺北市,中正區,信陽街
臺北市,中正區,八德路
臺北市,中正區,公園路
臺北市,中正區,凱達格蘭大道
臺北市,中正區,北平東路
臺北市,中正區,北平西路
臺北市,中正區,南昌路
臺北市,中正區,南海路
臺北市,中正區,南陽街
臺北市,中正區,博愛路
臺北市,中正區,同安街
臺北市,中正區,和平西路
臺北市,中正區,大埔街
臺北市,中正區,天津街
臺北市,中正區,寧波東街
臺北市,中正區,寧波西街
臺北市,中正區,寶慶路
臺北市,中正區,市民大道
臺北市,中正區,師大路
臺北市,中正區,常德街
臺北市,中正區,廣州街
臺北市,中正區,延平南路
臺北市,中正區,徐州路
臺北市,中正區,忠孝東路
臺北市,中正區,忠孝西路
臺北市,中正區,思源街
臺北市,中正區,惠安街
臺北市,中正區,愛國東路
臺北市,中正區,愛國西路
臺北市,中正區,懷寧街
臺北市,中正區,新生南路
臺北市,中正區,晉江街
臺北市,中正區,杭州北路
臺北市,中正區,杭州南路
臺北市,中正區,林森北路
臺北市,中正區,林森南路
臺北市,中正區,桃源街
臺北市,中正區,武昌街
臺北市,中正區,水源路
臺北市,中正區,永春街
臺北市,中正區,永綏街
臺北市,中正區,汀州路
臺北市,中正區,沅陵街
臺北市,中正區,泉州街
臺北市,中正區,泰安街
臺北市,中正區,湖口街
臺北市,中正區,漢口街
臺北市,中正區,潮州街
臺北市,中正區,濟南路
臺北市,中正區,牯嶺街
臺北市,中正區,福州街
臺北市,中正區,秀山街
臺北市,中正區,紹興北街
臺北市,中正區,紹興南街
臺北市,中正區,羅斯福路
臺北市,中正區,臨沂街
臺北市,中正區,莒光路
臺北市,中正區,衡陽路
臺北市,中正區,襄陽路
臺北市,中正區,西藏路
臺北市,中正區,許昌街
臺北市,中正區,詔安街
臺北市,中正區,貴陽街
臺北市,中正區,辛亥路
臺北市,中正區,連雲街
臺北市,中正區,酉陽街
臺北市,中正區,重慶南路
臺北市,中正區,金山北路
臺北市,中正區,金山南路
臺北市,中正區,金華街
臺北市,中正區,金門街
臺北市,中正區,銅山街
臺北市,中正區,鎮江街
臺北市,中正區,長沙街
臺北市,中正區,開封街
臺北市,中正區,青島東路
臺北市,中正區,青島西路
臺北市,中正區,館前路
臺北市,中正區,齊東街
臺北市,大同區,五原路
臺北市,大同區,伊寧街
臺北市,大同區,保安街
臺北市,大同區,南京西路
臺北市,大同區,哈密街
臺北市,大同區,塔城街
臺北市,大同區,大龍街
臺北市,大同區,天水路
臺北市,大同區,太原路
臺北市,大同區,安西街
臺北市,大同區,寧夏路
臺北市,大同區,市民大道
臺北市,大同區,平陽街
臺北市,大同區,庫倫街
臺北市,大同區,延平北路
臺北市,大同區,忠孝西路
臺北市,大同區,承德路
臺北市,大同區,撫順街
臺北市,大同區,敦煌路
臺北市,大同區,昌吉街
臺北市,大同區,景化街
臺北市,大同區,歸綏街
臺北市,大同區,民族西路
臺北市,大同區,民樂街
臺北市,大同區,民權西路
臺北市,大同區,民生西路
臺北市,大同區,永昌街
臺北市,大同區,涼州街
臺北市,大同區,環河北路
臺北市,大同區,甘州街
臺北市,大同區,甘谷街
臺北市,大同區,興城街
臺北市,大同區,華亭街
臺北市,大同區,華陰街
臺北市,大同區,萬全街
臺北市,大同區,蘭州街
臺北市,大同區,西寧北路
臺北市,大同區,貴德街
臺北市,大同區,赤峰街
臺北市,大同區,迪化街
臺北市,大同區,通河西街
臺北市,大同區,鄭州路
臺北市,大同區,酒泉街
臺北市,大同區,重慶北路
臺北市,大同區,錦西街
臺北市,大同區,長安西路
臺北市,大同區,雙連街
臺北市,萬華區,三水街
臺北市,萬華區,中華路
臺北市,萬華區,內江街
臺北市,萬華區,南寧路
臺北市,萬華區,和平西路
臺北市,萬華區,國興路
臺北市,萬華區,大埔街
臺北市,萬華區,大理街
臺北市,萬華區,富民路
臺北市,萬華區,寶興街
臺北市,萬華區,峨眉街
臺北市,萬華區,康定路
臺北市,萬華區,廣州街
臺北市,萬華區,德昌街
臺北市,萬華區,忠孝西路
臺北市,萬華區,成都路
臺北市,萬華區,昆明街
臺北市,萬華區,東園街
臺北市,萬華區,柳州街
