行政區,里別,分隊,局編,車號,路線,車次,抵達時間,離開時間,地點,經度,緯度
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第1車,1630,1638,臺北市中山區建國北路1段69號前,121.53694,25.05111
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第1車,1640,1649,臺北市中山區南京東路3段176號前(遼寧街口),121.54222,25.05194
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第1車,1650,1658,臺北市中山區南京東路3段214號前,121.54338,25.05172
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第1車,1700,1709,臺北市中山區復興北路66號,121.54385,25.05082
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第1車,1710,1716,臺北市中山區復興北路28號前,121.54381,25.04886
中山區,朱崙里,長安分隊,100-021,119-BQ,長安-3,第2車,1845,1851,臺北市中山區八德路2段335號前,121.54361,25.0475
中山區,朱崙里,長安分隊,100-021,119-BQ,長安-3,第2車,1852,1902,臺北市中山區八德路2段291號前,121.54194,25.04722
中山區,朱崙里,長安分隊,100-021,119-BQ,長安-3,第2車,1904,1914,臺北市中山區龍江路23號,121.54042,25.04788
中山區,朱崙里,長安分隊,100-021,119-BQ,長安-3,第2車,1920,1925,臺北市中山區長安東路2段158號前,121.53899,25.04832
中山區,朱崙里,長安分隊,100-021,119-BQ,長安-3,第2車,1932,1938,臺北市中山區八德路2段167巷16號(建興公園旁),121.53801,25.04751
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第3車,2100,2108,臺北市中山區龍江路70號,121.54056,25.05111
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第3車,2110,2118,臺北市中山區朱崙街36號,121.53867,25.04987
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第3車,2120,2128,臺北市中山區長安東路2段197號,121.54324,25.04834
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第3車,2130,2138,臺北市中山區長安東路2段171號前,121.54177,25.04841
中山區,力行里,長安分隊,100-021,119-BQ,長安-3,第3車,2140,2150,臺北市中山區龍江路55號,121.54044,25.04957
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第1車,1700,1705,臺北市中山區民生東路3段10號旁,121.53886,25.05761
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第1車,1706,1711,臺北市中山區民生東路3段36號前,121.54012,25.05766
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第1車,1712,1720,臺北市中山區民生東路3段67號對面,121.5421,25.0577
中山區,龍洲里,南京分隊,100-022,121-BQ,南京-1,第1車,1721,1730,臺北市中山區復興北路234號(土地銀行前),121.54389,25.05738
中山區,龍洲里,南京分隊,100-022,121-BQ,南京-1,第1車,1731,1745,臺北市中山區興安街75號,121.54284,25.05625
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,1915,1925,臺北市中山區建國北路2段51號,121.53726,25.05554
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,1926,1931,臺北市中山區興安街24號,121.53813,25.0562
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,1932,1940,臺北市中山區興安街50號前,121.53918,25.05612
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,1941,1950,臺北市中山區興安街64號前,121.54016,25.05596
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,1951,2000,臺北市中山區龍江路172之2號前,121.54045,25.05538
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第2車,2001,2015,臺北市中山區長春路235號前,121.53932,25.05475
中山區,朱馥里,南京分隊,100-022,121-BQ,南京-1,第3車,2135,2143,臺北市中山區興安街53之4號對面,121.5418,25.05609
中山區,龍洲里,南京分隊,100-022,121-BQ,南京-1,第3車,2144,2158,臺北市中山區興安街100號,121.54283,25.05573
中山區,龍洲里,南京分隊,100-022,121-BQ,南京-1,第3車,2159,2208,臺北市中山區復興北路204號前,121.54369,25.05572
中山區,龍洲里,南京分隊,100-022,121-BQ,南京-1,第3車,2209,2220,臺北市中山區長春路325號前,121.54335,25.0548
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第1車,1755,1800,臺北市文山區忠順街1段26巷11弄2號前,121.55743,24.98293
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第1車,1801,1804,臺北市文山區木新路3段236號前,121.55911,24.98128
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第1車,1805,1809,臺北市文山區木新路3段310巷12弄1號旁,121.55693,24.98201
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第1車,1811,1814,臺北市文山區忠順街1段8號前,121.55819,24.98384
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第1車,1815,1820,臺北市文山區忠順街1段50號前,121.56005,24.98419
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第1車,1821,1824,臺北市文山區興隆路4段76號前,121.56185,24.98392
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第1車,1824,1828,臺北市文山區興隆路4段98號前,121.5621,24.98323
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第1車,1828,1830,臺北市文山區興隆路4段124號前,121.56221,24.98251
文山區,明興里,復興分隊,100-032,123-BQ,復興-1,第2車,1930,1933,臺北市文山區木柵路2段163號前,121.56309,24.98921
文山區,明興里,復興分隊,100-032,123-BQ,復興-1,第2車,1934,1938,臺北市文山區木柵路2段95號前,121.56137,24.98891
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第2車,1944,1948,臺北市文山區木新路3段176號前,121.56057,24.98187
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第2車,1951,1956,臺北市文山區樟新街58號前,121.55569,24.97757
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第2車,1957,2000,臺北市文山區一壽街48-54號旁,121.55441,24.97894
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第2車,2002,2006,臺北市文山區木新路3段336號前,121.5552,24.98031
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第2車,2008,2011,臺北市文山區辛亥路7段73號前,121.55432,24.98412
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第2車,2014,2016,臺北市文山區木新路3段289號前,121.55751,24.98082
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第2車,2017,2019,臺北市文山區木新路3段239號前,121.55883,24.9811
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第2車,2019,2021,臺北市文山區木新路3段213號前,121.55966,24.9813
文山區,樟腳里,復興分隊,100-032,123-BQ,復興-1,第2車,2021,2022,臺北市文山區木新路3段181號前,121.56041,24.98147
文山區,樟腳里,復興分隊,100-032,123-BQ,復興-1,第2車,2023,2025,臺北市文山區木新路3段153號前,121.56128,24.98172
文山區,樟腳里,復興分隊,100-032,123-BQ,復興-1,第2車,2025,2027,臺北市文山區木新路3段125號前,121.5621,24.98186
文山區,明義里,復興分隊,100-032,123-BQ,復興-1,第2車,2030,2032,臺北市文山區興隆路4段101巷明義公園旁(建築年鑑大廈前),121.56102,24.98823
文山區,明義里,復興分隊,100-032,123-BQ,復興-1,第2車,2040,2043,臺北市文山區興隆路4段105巷46號,121.55939,24.98743
文山區,明義里,復興分隊,100-032,123-BQ,復興-1,第2車,2040,2043,臺北市文山區興隆路4段105巷46號前,121.56218,24.98748
文山區,樟林里,復興分隊,100-032,123-BQ,復興-1,第3車,2130,2132,臺北市文山區興隆路4段64號前,121.56137,24.98518
文山區,樟林里,復興分隊,100-032,123-BQ,復興-1,第3車,2132,2134,臺北市文山區忠順街1段143號前,121.56087,24.98447
文山區,樟林里,復興分隊,100-032,123-BQ,復興-1,第3車,2134,2137,臺北市文山區忠順街1段9巷1號旁,121.55678,24.98446
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第3車,2140,2144,臺北市文山區樟新街8巷2號旁,121.55458,24.97954
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第3車,2144,2148,臺北市文山區樟新街28號前,121.5553,24.97886
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第3車,2148,2152,臺北市文山區樟新街58號前,121.55579,24.97753
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第3車,2152,2157,臺北市文山區一壽街48-54號旁,121.55441,24.97894
文山區,樟新里,復興分隊,100-032,123-BQ,復興-1,第3車,2159,2202,臺北市文山區一壽街3巷2號前,121.55656,24.97988
文山區,樟文里,復興分隊,100-032,123-BQ,復興-1,第3車,2203,2206,臺北市文山區木新路3段310巷12弄1號前,121.55691,24.98201
文山區,樟樹里,復興分隊,100-032,123-BQ,復興-1,第3車,2208,2210,臺北市文山區忠順街1段26巷11弄2號前,121.55961,24.98254
士林區,名山里,蘭雅分隊,100-033,111-BQ,蘭雅-1,第1車,1600,1800,臺北市士林區陽明醫院雨聲街側面對面空地,121.53133,25.1046
信義區,安康里,三張犁分隊,100-035,118-BQ,三張犁-3,第1車,1800,1820,臺北市信義區松德路171號旁,121.57487,25.0358
信義區,安康里,三張犁分隊,100-035,118-BQ,三張犁-3,第2車,2030,2045,臺北市信義區松德路171號前,121.57487,25.0358
信義區,安康里,三張犁分隊,100-035,118-BQ,三張犁-3,第2車,2047,2100,臺北市信義區松德路46號前,121.57655,25.03897
信義區,廣居里,三張犁分隊,100-035,118-BQ,三張犁-3,第2車,2105,2120,臺北市信義區忠孝東路5段248號,121.57258,25.04078
信義區,廣居里,三張犁分隊,100-035,118-BQ,三張犁-3,第2車,2125,2130,臺北市信義區忠孝東路5段420號,121.57535,25.0407
內湖區,安泰里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1644,1646,臺北市內湖區安泰街164號(每星期一、四收運),121.61564,25.08081
內湖區,安泰里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1647,1649,臺北市內湖區安泰街174號(每星期一、四收運),121.61535,25.082
內湖區,安泰里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1650,1653,臺北市內湖區安泰街192號(每星期一、四收運),121.61341,25.08585
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1700,1705,臺北市內湖區康樂街291巷內(魚池)旁,121.61415,25.0972
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1707,1710,臺北市內湖區康樂街291號（福德宮）前,121.61415,25.0972
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1712,1715,臺北市內湖區康樂街275號（土地公廟）前,121.62215,25.09365
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1717,1720,臺北市內湖區康樂街265號前100公尺(明舉橋)前,121.62353,25.08789
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1722,1725,臺北市內湖區康樂街234號前,121.62369,25.086
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1727,1730,臺北市內湖區康樂街220巷口,121.62394,25.08471
內湖區,內溝里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1732,1735,臺北市內湖區康樂街206號(敦厚宮)前,121.62353,25.07884
內湖區,明湖里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1750,1755,臺北市內湖區康寧路3段165巷23弄1號,121.61222,25.07142
內湖區,康寧里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1800,1810,臺北市內湖區康寧路3段189巷96號,121.61262,25.07341
內湖區,康寧里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1812,1820,臺北市內湖區康寧路3段189巷163弄15號,121.61183,25.07574
內湖區,康寧里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1822,1830,臺北市內湖區康寧路3段99巷39弄70號,121.61062,25.07433
內湖區,安湖里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1833,1836,臺北市內湖區東湖路43巷21號旁,121.61361,25.0698
內湖區,安湖里,東湖分隊,100-603,070-BQ,東湖-1,第1車,1836,1845,臺北市內湖區東湖路113巷95弄164號對面,121.61443,25.06959
內湖區,蘆洲里,東湖分隊,100-603,070-BQ,東湖-1,第2車,1905,1935,臺北市內湖區安美街181號斜對面,121.60134,25.05998
內湖區,五分里,東湖分隊,100-603,070-BQ,東湖-1,第3車,2010,2015,臺北市內湖區東湖路12號前,121.61264,25.06878
內湖區,安泰里,東湖分隊,100-603,070-BQ,東湖-1,第3車,2020,2045,臺北市內湖區安泰街98號旁,121.61638,25.07652
內湖區,安泰里,東湖分隊,100-603,070-BQ,東湖-1,第3車,2200,2215,臺北市內湖區安泰街45巷18號對面,121.61836,25.07428
內湖區,樂康里,東湖分隊,100-603,070-BQ,東湖-1,第3車,2216,2220,臺北市內湖區康樂街136巷29弄17號對面,121.61767,25.07274
內湖區,蘆洲里,東湖分隊,100-603,070-BQ,東湖-1,第4車,2105,2130,臺北市內湖區安美街181號前200公尺,121.60283,25.06015
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第1車,1630,1658,臺北市士林區大南路與通河東街1段口,121.51548,25.08939
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第1車,1659,1703,臺北市士林區大南路323號,121.51778,25.08891
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第1車,1704,1713,臺北市士林區福港街152號,121.51783,25.08752
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第1車,1714,1722,臺北市士林區福港街218號,121.51755,25.08554
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第1車,1723,1728,臺北市士林區華齡街168號,121.51962,25.08687
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第1車,1729,1733,臺北市士林區後港街134巷口,121.52131,25.08678
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第1車,1734,1738,臺北市士林區前港街與後港街口(前港街16號前),121.52129,25.0848
士林區,承德里,後港分隊,101-038,650-BS,後港-1,第1車,1739,1748,臺北市士林區後港街與劍潭路口,121.52277,25.08409
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1858,1903,臺北市士林區大南路423號前,121.51626,25.09041
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第2車,1904,1908,臺北市士林區大南路325號,121.51775,25.08894
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1909,1917,臺北市士林區大南路287號,121.51893,25.08875
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第2車,1918,1925,臺北市士林區大南路與後港街口,121.5207,25.08844
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1929,1938,臺北市士林區承德路4段279號,121.51969,25.08983
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1939,1947,臺北市士林區承德路4段297巷口,121.51865,25.08998
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1948,1953,臺北市士林區承德路4段325號,121.5177,25.09039
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1954,1957,臺北市士林區中正路與士商路口(士商路116號),121.51871,25.09229
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第2車,1958,2003,臺北市士林區士商路70號前,121.51984,25.09092
士林區,百齡里,後港分隊,101-038,650-BS,後港-1,第3車,2058,2108,臺北市士林區華齡街與前港街口,121.51936,25.08506
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第3車,2109,2113,臺北市士林區華齡街184號,121.5197,25.08747
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第3車,2114,2117,臺北市士林區華齡街214號,121.51994,25.0885
士林區,前港里,後港分隊,101-038,650-BS,後港-1,第3車,2118,2122,臺北市士林區大南路233號,121.52087,25.08844
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第3車,2126,2132,臺北市士林區福港街20號,121.51812,25.09103
士林區,後港里,後港分隊,101-038,650-BS,後港-1,第3車,2134,2138,臺北市士林區福港街91號對面,121.51843,25.08934
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第3車,2139,2143,臺北市士林區福港街112號,121.51804,25.0885
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第3車,2144,2153,臺北市士林區福港街164號,121.51774,25.08691
士林區,福中里,後港分隊,101-038,650-BS,後港-1,第3車,2154,2203,臺北市士林區福港街218號,121.51755,25.08554
萬華區,富福里,昆明分隊,101-041,053-BV,昆明-1,第1車,1710,1725,臺北市萬華區和平西路3段120號(行政中心),121.49987,25.03503
萬華區,仁德里,昆明分隊,101-041,053-BV,昆明-1,第1車,1735,1738,臺北市萬華區桂林路41號,121.50441,25.03812
萬華區,富民里,昆明分隊,101-041,053-BV,昆明-1,第1車,1740,1743,臺北市萬華區桂林路101號,121.50119,25.03864
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第1車,1745,1749,臺北市萬華區桂林路137號前,121.49935,25.0387
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1756,1758,臺北市萬華區環河南路2段48號前,121.49673,25.0383
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1759,1803,臺北市萬華區環河南路2段52號前,121.49622,25.03781
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1803,1810,臺北市萬華區環河南路2段102號前,121.49546,25.03693
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1810,1816,臺北市萬華區環河南路2段132號前,121.49485,25.03619
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1817,1823,臺北市萬華區和平西路3段261號之7,121.49442,25.03581
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1824,1827,臺北市萬華區和平西路3段359號前,121.49191,25.03568
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1828,1831,臺北市萬華區桂林路246巷42弄33號,121.492,25.03641
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1831,1835,臺北市萬華區桂林路246巷42弄44號,121.49232,25.0361
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1835,1839,臺北市萬華區桂林路246巷16號,121.49353,25.03728
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1839,1841,臺北市萬華區桂林路244巷26號,121.49441,25.0377
萬華區,柳鄉里,昆明分隊,101-041,053-BV,昆明-1,第1車,1842,1846,臺北市萬華區桂林路242巷4號,121.49544,25.03821
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2030,2035,臺北市萬華區西園路1段134號前,121.49958,25.03779
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2035,2038,臺北市萬華區西園路1段158號前,121.4993,25.03712
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2038,2043,臺北市萬華區西園路1段192號,121.49916,25.03619
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2043,2045,臺北市萬華區西園路1段216號前,121.49924,25.03555
萬華區,仁德里,昆明分隊,101-041,053-BV,昆明-1,第2車,2050,2055,臺北市萬華區桂林路38號前,121.50473,25.0378
萬華區,仁德里,昆明分隊,101-041,053-BV,昆明-1,第2車,2056,2100,臺北市萬華區中華路1段212號前,121.5064,25.0374
萬華區,仁德里,昆明分隊,101-041,053-BV,昆明-1,第2車,2103,2108,臺北市萬華區廣州街79號前,121.50428,25.03664
萬華區,福音里,昆明分隊,101-041,053-BV,昆明-1,第2車,2109,2112,臺北市萬華區昆明街285號前,121.50371,25.03679
萬華區,福音里,昆明分隊,101-041,053-BV,昆明-1,第2車,2112,2116,臺北市萬華區廣州街90號對面,121.50257,25.03659
萬華區,福音里,昆明分隊,101-041,053-BV,昆明-1,第2車,2116,2119,臺北市萬華區廣州街116號對面,121.50187,25.0366
萬華區,富民里,昆明分隊,101-041,053-BV,昆明-1,第2車,2122,2127,臺北市萬華區廣州街207號前,121.50026,25.03674
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2132,2135,臺北市萬華區環河南路2段73號前,121.49653,25.0376
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2136,2144,臺北市萬華區桂林路164號前,121.49755,25.03844
萬華區,青山里,昆明分隊,101-041,053-BV,昆明-1,第2車,2144,2150,臺北市萬華區桂林路142號前,121.49832,25.03845
信義區,大仁里,福德分隊,101-044,057-BV,福德-1,第1車,1820,1840,臺北市信義區大道路108號,121.58033,25.04
信義區,大仁里,福德分隊,101-044,057-BV,福德-1,第1車,1842,1850,臺北市信義區福德街84巷與林口街24巷交叉口,121.58094,25.03805
信義區,大仁里,福德分隊,101-044,057-BV,福德-1,第1車,1852,1900,臺北市信義區大道路96巷口與福德街84巷交叉口,121.5806,25.039
信義區,國業里,福德分隊,101-044,057-BV,福德-1,第1車,1905,1920,臺北市信義區信義路6段103號前,121.57792,25.03627
信義區,松友里,福德分隊,101-044,057-BV,福德-1,第2車,2100,2130,臺北市信義區信義路6段74號前,121.57687,25.03515
信義區,西村里,三張犁分隊,101-045,058-BV,三張犁-2,第1車,1800,1840,臺北市信義區基隆路1段380巷5號旁(中興公園),121.55969,25.03463
信義區,中興里,三張犁分隊,101-045,058-BV,三張犁-2,第1車,1845,1900,臺北市信義區基隆路2段72號前,121.55816,25.03093
信義區,興隆里,三張犁分隊,101-045,058-BV,三張犁-2,第2車,2100,2125,臺北市信義區忠孝東路4段556號,121.563,25.0416
信義區,新仁里,三張犁分隊,101-045,058-BV,三張犁-2,第2車,2130,2150,臺北市信義區忠孝東路4段553巷48號旁,121.56293,25.04437
信義區,新仁里,三張犁分隊,101-045,058-BV,三張犁-2,第2車,2155,2200,臺北市信義區忠孝東路4段563號,121.56405,25.04159
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1720,1724,臺北市中正區杭州南路2段54之1號前,121.52205,25.03041
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1725,1728,臺北市中正區杭州南路2段102號前,121.52172,25.02881
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1734,1737,臺北市中正區金華街59號旁,121.5209,25.03158
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1738,1741,臺北市中正區金華街19號前,121.51885,25.03252
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1742,1745,臺北市中正區羅斯福路1段25號前,121.51849,25.03284
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1746,1750,臺北市中正區羅斯福路1段7號旁,121.51794,25.03356
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1751,1753,臺北市中正區愛國東路22號前,121.51784,25.03435
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1754,1757,臺北市中正區愛國東路60號旁,121.51899,25.03387
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1758,1800,臺北市中正區愛國東路76號前,121.51969,25.03352
中正區,新營里,南昌分隊,101-046,059-BV,南昌-1,第1車,1801,1803,臺北市中正區愛國東路106號前,121.52086,25.03292
中正區,龍福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1813,1818,臺北市中正區羅斯福路1段20號,121.51887,25.03185
中正區,南福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1819,1823,臺北市中正區羅斯福路1段40號前,121.51911,25.03128
中正區,南福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1824,1828,臺北市中正區羅斯福路1段94號前,121.51992,25.03008
中正區,南福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1829,1833,臺北市中正區羅斯福路2段10號前,121.52107,25.02861
中正區,南福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1834,1838,臺北市中正區羅斯福路2段36號前,121.52153,25.02812
