dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
士林區,交通,蘭雅公園地下停車場,臺北市士林區德行東路129巷31號地下,121.529402,25.109725,蘭雅公園地下停車場,3,0,3,0,0,1,0
士林區,交通,捷運劍潭站(淡水信義線),臺北市士林區中山北路五段65號,121.525078,25.084873,捷運劍潭站(夜),5,5,0,0,0,0,1
士林區,交通,捷運士林站(淡水信義線),臺北市士林區福德路1號,121.526230,25.093535,捷運士林站,5,5,0,0,0,0,1
士林區,交通,捷運芝山站(淡水信義線),臺北市士林區福國路70號,121.522514,25.103060,捷運芝山站,5,5,0,0,0,0,1
士林區,交通,百齡高中地下停車場,臺北市士林區承德路四段175號地下一、二樓,121.523996,25.086151,臺北市停車管理工程處百齡高中地下停車場,4,4,0,0,0,0,1
士林區,交通,前港公園地下停車場,臺北市士林區前港街45號地下,121.520326,25.084906,臺北市停車管理工程處前港公園地下停車場,3,3,0,0,0,1,0
士林區,交通,社園立體停車場,臺北市士林區延平北路六段180號,121.505951,25.089582,臺北市停車管理工程處社園立體停車場,1,0,1,0,0,0,0
士林區,交通,故宮廣場停車場,臺北市士林區至善路二段150號,121.549242,25.099239,臺北市政府停車管理處,2,0,2,0,0,0,0
士林區,交通,天母停車場,臺北市士林區天母西路1號地下1樓,121.529646,25.119953,東和停車場開發股份有限公司天母停車場,2,0,2,0,0,0,0
士林區,交通,海光公園地下停車場,臺北市士林區葫蘆街83號,121.508328,25.081436,臺北市停車管理工程處海光公園地下停車場,3,3,0,0,0,1,0
士林區,交通,社子國小地下停車場,臺北市士林區延平北路六段308號B1,121.502685,25.090000,臺北市停車管理工程處社子國小地下停車場,3,3,0,0,0,1,0
士林區,交通,承德公園地下停車場,臺北市士林區基河路150號,121.522448,25.089893,臺北市停車管理工程處承德公園地下停車場,3,3,0,0,0,1,0
士林區,交通,文昌國小地下停車場,臺北市士林區文林路615巷20號,121.521336,25.099402,臺北市停車管理工程處文昌國小地下停車場,2,0,2,0,0,0,0
士林區,交通,福林公園地下停車場,臺北市士林區中正路17號地下,121.530000,25.095800,福林公園地下停車場,3,0,3,0,0,1,0
士林區,觀光遊憩,國立臺灣科學教育館,臺北市士林區士商路189號,121.516010,25.095988,國立臺灣科學教育館,51,51,0,0,0,10,7
士林區,觀光遊憩,臺北市立天文科學教育館,臺北市士林區基河路363號,121.518965,25.096063,臺北市立天文科學教育館,37,37,0,0,0,11,0
士林區,觀光遊憩,圓山保齡球館,臺北市士林區中山北路五段6號,121.525626,25.082348,圓山保齡球館,4,1,3,0,0,0,0
士林區,文化育樂場所,臺北表演藝術中心,臺北市士林區劍潭路1號,121.524211,25.085079,臺北表演藝術中心,24,24,0,0,0,3,0
士林區,文化育樂場所,士林天母棒球場,臺北市士林區忠誠路二段77號,121.534287,25.114385,龍來球場股份有限公司,22,22,0,0,0,2,0
士林區,觀光遊憩,國立故宮博物院,臺北市士林區至善路二段221號,121.549360,25.099688,國立故宮博物院,13,13,0,0,0,1,1
士林區,文化育樂場所,天母運動場,臺北市士林區忠誠路二段77號(天母運動園區服務中心),121.534287,25.114385,臺北市輪椅網球推廣協會,6,0,6,0,0,0,1
士林區,觀光遊憩,臺北市立兒童新樂園,臺北市士林區承德路五段55號,121.516098,25.096297,臺北市立兒童新樂園,46,44,2,0,0,22,1
士林區,公園,芝山文化生態綠園,臺北市士林區雨聲街120號,121.532685,25.104036,芝山文化生態綠園,8,0,8,0,0,2,0
士林區,觀光遊憩,順益臺灣原住民博物館,臺北市士林區至善路二段282號,121.552025,25.100981,順益臺灣原住民博物館,2,0,2,0,0,1,0
士林區,文化育樂場所,林語堂故居,臺北市士林區仰德大道二段141號,121.546978,25.109577,林語堂故居,1,0,1,0,0,0,0
士林區,文化育樂場所,士林運動中心,臺北市士林區士商路1號,121.521410,25.089491,台北市中華基督教青年會,17,17,0,0,0,5,5
士林區,加油站,中油社子站,臺北市士林區重慶北路四段198號,121.511820,25.084886,臺灣中油股份有限公司社子站,3,3,0,0,0,2,0
士林區,加油站,中油文林路加油站,臺北市士林區文林路100號,121.526258,25.087477,臺灣中油股份有限公司文林路站,2,2,0,0,0,0,0
士林區,加油站,中油福林加油站,臺北市士林區中山北路五段465號,121.527660,25.092397,臺灣中油股份有限公司福林站,3,3,0,0,0,2,0
士林區,加油站,中油陽明山加油站,臺北市士林區格致路3號,121.545953,25.135452,臺灣中油股份有限公司陽明山站,3,3,0,0,0,1,0
士林區,加油站,西歐基河加油站,臺北市士林區承德路四段200號,121.522010,25.087651,西歐加油站股份有限公司,3,0,3,0,0,2,0
士林區,加油站,西歐士林加油站,臺北市士林區中山北路五段570號,121.528164,25.095663,西歐加油站士林站,3,0,3,0,0,2,0
士林區,加油站,芝山加油站,臺北市士林區至誠路二段40號1樓,121.528939,25.101948,芝山加油站,3,0,3,0,0,1,0
士林區,加油站,全國台北交流道站,臺北市士林區重慶北路四段141號,121.511879,25.086065,全國加油站股份有限公司台北交流道站,2,0,2,0,0,0,0
士林區,加油站,全國洲美加油站,臺北市士林區延平北路六段505號,121.509647,25.085181,全國加油站股份有限公司洲美站,2,0,2,0,0,0,0
士林區,公園,雙溪公園,臺北市士林區福林路、至善路口東南側,121.535470,25.098298,公園路燈工程管理處園藝管理所,3,0,3,0,0,1,0
士林區,公園,芝山公園2號,臺北市士林區雨農路、至誠路一段交叉口處閱覽室旁,121.532837,25.101671,公園路燈工程管理處陽明山管理所,3,0,3,0,0,1,0
士林區,公園,天母公園,臺北市士林區中山北路七段219號邊,121.530071,25.125855,公園路燈工程管理處陽明公園管理所,4,4,0,0,0,1,1
士林區,公園,社子公園,臺北市士林區永平街20巷11弄3號對面,121.506159,25.090457,公園路燈工程管理處陽明山公園管理所,3,0,3,0,0,1,1
士林區,公園,芝山公園1號,臺北市士林區至誠路一段182號與雨農路交叉口,121.532836,25.101148,公園路燈工程管理處陽明山公園管理所,3,0,3,0,0,0,1
士林區,公園,至善公園,臺北市士林區至善路與福林路會口處公園廣場東北側,121.538224,25.098326,公園路燈工程管理處陽明山公園管理所,3,0,3,0,0,1,0
士林區,公園,忠誠公園,臺北市士林區中山北路六段與忠誠路會口公園水池後方,121.525878,25.103148,公園路燈工程管理處陽明山公園管理所,3,0,3,0,0,0,1
士林區,公園,士林官邸,臺北市士林區福林路60號,121.530152,25.094898,公園路燈工程管理處園藝管理所,10,10,0,0,0,4,2
士林區,公園,美崙公園,臺北市士林區美崙街152巷,121.519656,25.096979,公園路燈工程管理處陽明山公園管理所,4,4,0,0,0,1,1
士林區,公園,花卉試驗中心,臺北市士林區仰德大道四段175巷32號,121.544438,25.134945,公園路燈工程管理處花卉試驗中心,3,0,3,0,0,1,1
士林區,公園,海光公園,臺北市士林區葫蘆街83號,121.508381,25.082198,公園路燈工程管理處陽明山公園管理所,2,0,2,0,0,1,0
士林區,市場,公有士東市場(署),臺北市士林區士東路一段100號,121.529163,25.111997,臺北市市場處士東市場自治會,6,6,0,0,0,2,0
士林區,市場,公有士林市場(署),臺北市士林區基河路101號,121.524366,25.087416,臺北市士林市場,3,0,3,0,0,1,0
士林區,市場,福華市場(署),臺北市士林區通河街323之1號,121.516477,25.082523,臺北市市場處福華廣場攤販集中場,2,0,2,0,0,0,0
士林區,市場,家樂福便利購超市士林華齡店,臺北市士林區華齡街175號,121.519400,25.087000,頂好超級市場後港分公司,1,1,0,0,0,0,0
士林區,綜合零售賣場,全聯超市天母中山北分公司,臺北市士林區中山北路七段154巷6號,121.532900,25.123400,全聯實業股份有限公司天母中山北分公司,3,0,3,0,0,1,0
士林區,大專院校,中國文化大學,臺北市士林區華岡路55號,121.540962,25.137688,中國文化大學,3,1,2,0,0,1,0
士林區,綜合零售賣場,統一超商臺北市文林門市,臺北市士林區大北路14號16號1樓,121.526590,25.089791,統一超商股份有限公司臺北市文林門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市葫蘆門市,臺北市士林區延平北路五段134號134-2號1樓,121.510544,25.082015,統一超商股份有限公司臺北市葫蘆門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市福氣門市,臺北市士林區延平北路六段122號124號1樓,121.507803,25.089215,統一超商股份有限公司臺北市福氣門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市洲美門市,臺北市士林區延平北路六段505號,121.498064,25.093250,統一超商股份有限公司臺北市洲美門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市友成門市,臺北市士林區社中街211號1樓,121.508421,25.091018,統一超商股份有限公司臺北市友成門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市社鑽門市,臺北市士林區中正路639號1樓,121.508208,25.086119,統一超商股份有限公司臺北市社鑽門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市新劍潭門市,臺北市士林區福港街246號,121.517487,25.084339,統一超商股份有限公司臺北市新劍潭門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市福榮門市,臺北市士林區中正路220號222號,121.526092,25.095529,統一超商股份有限公司臺北市福榮門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市德行門市,臺北市士林區忠誠路二段7號1樓,121.530636,25.108993,統一超商股份有限公司臺北市德行門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市新忠誠門市,臺北市士林區中山北路六段18號20號1樓,121.526761,25.103947,統一超商股份有限公司臺北市新忠誠門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市草山門市,臺北市士林區格致路28號,121.546449,25.136941,統一超商股份有限公司臺北市草山門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市社中門市,臺北市士林區社中街320-322號,121.505185,25.092342,統一超商股份有限公司臺北市社中門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市天北門市,臺北市士林區天母西路39-1號1樓,121.527473,25.118694,統一超商股份有限公司臺北市天北門市,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市前港門市,臺北市士林區後港街98之1號2號1樓,121.521524,25.085661,統一超商股份有限公司臺北市前港門市,1,0,1,0,0,0,0
