類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩,行政區
國有房地,國立臺北科技大學,臺北市大安區民輝里16鄰忠孝東路三段1號,121.5356504,25.0424604,3.6,大安區
國有房地,國立臺北科技大學,臺北市大安區民輝里16鄰忠孝東路三段1號,121.5356504,25.0424604,5.44,大安區
國有房地,國立臺灣師範大學,臺北市大安區錦安里11鄰和平東路一段129號,121.52847,25.02717,7.2,大安區
國有房地,台灣中油股份有限公司,臺北市信義區興雅里24鄰松仁路3號,121.569184,25.039485,8.55,信義區
國有房地,行政院環境保護署毒物及化學物質局,臺北市大安區龍雲里3鄰大安路二段132巷35弄1號,121.5440771,25.0300965,10.03,大安區
國有房地,立法院,臺北市中正區幸福里1鄰中山南路1號,121.5247613,25.0443212,10.032,中正區
國有房地,總統府,臺北市中正區建國里4鄰重慶南路一段122號,121.5122878,25.0403593,10.5,中正區
國有房地,台灣中油股份有限公司,臺北市文山區木柵里26鄰木柵路三段2號,121.5701342,24.9895613,13.2,文山區
國有房地,台灣中油股份有限公司,臺北市松山區中正里16鄰復興北路31號,121.544416,25.049515,13.8,松山區
國有房地,經濟部標準檢驗局,臺北市中正區東門里3鄰濟南路一段4號,121.5204631,25.0425503,14.4,中正區
國有房地,國防醫學院三軍總醫院,臺北市內湖區寶湖里1鄰成功路二段325號,121.5924282,25.0716466,14.88,內湖區
國有房地,行政院農業委員會,臺北市中正區龍興里16鄰和平西路二段100號,121.5094053,25.0301475,15.525,中正區
國有房地,台灣中油股份有限公司,臺北市中山區中原里12鄰新生北路二段71號,121.52805,25.0565519,16.8,中山區
國有房地,台灣中油股份有限公司,臺北市中正區林興里15鄰汀州路三段1號,121.5253585,25.0202507,18.0,中正區
國有房地,經濟部,臺北市中正區南福里15鄰福州街15號,121.5168679,25.0279546,20.0,中正區
國有房地,行政院環境保護署,臺北市中正區建國里2鄰中華路一段83號,121.5076439,25.0385149,21.75,中正區
國有房地,台灣中油股份有限公司,臺北市內湖區港墘里20鄰內湖路一段362號,121.5710437,25.0811697,25.2,內湖區
國有房地,台灣中油股份有限公司,臺北市中山區成功里3鄰明水路661號,121.5506495,25.0842474,27.36,中山區
國有房地,經濟部,臺北市南港區三重里14鄰經貿二路2號,121.6162474,25.0560263,31.32,南港區
國有房地,台灣中油股份有限公司,臺北市大安區通化里1鄰信義路四段374號,121.5554605,25.0329307,34.2,大安區
國有房地,國立臺灣科技大學,臺北市大安區學府里5鄰基隆路四段43號,121.5401282,25.0130898,36.0,大安區
國有房地,衛福部,臺北市南港區新光里12鄰忠孝東路六段488號,121.5953715,25.0502997,38.42,南港區
國有房地,國立臺灣科技大學,臺北市大安區學府里5鄰基隆路四段43號,121.5401282,25.0130898,48.0,大安區
國有房地,台灣中油股份有限公司,臺北市內湖區湖元里18鄰民權東路六段50號,121.5875793,25.0665616,50.73,內湖區
國有房地,憲兵202指揮部,臺北市中正區建國里6鄰中華路一段65號,121.5086073,25.0405821,52.72,中正區
國有房地,國立政治大學,臺北市文山區萬興里9鄰指南路二段64號,121.5771149,24.9861694,52.8,文山區
國有房地,中研院物理所,臺北市南港區中研里33鄰研究院路二段128號,121.6160711,25.0423834,55.0,南港區
國有房地,行政院農業委員會,臺北市中正區南門里10鄰南海路37號,121.5132,25.032068,55.2,中正區
