類別,名稱,地址,行政區,經度座標,緯度座標,裝置容量-瓩
學校,臺北市溪山國民小學,111臺北市士林區至善路三段199號,士林區,121.5800082,25.1197454,2.1
學校,臺北市麗山高級中學,114臺北市內湖區環山路二段100號,內湖區,121.5778933,25.0841176,3.14
學校,臺北市興雅國民小學,110臺北市信義區基隆路一段83巷9號,信義區,121.5700216,25.046751,3.15
學校,臺北市百齡國民小學,111臺北市士林區福港街205號,士林區,121.5179,25.08615,3.22
學校,臺北市至善國民中學,111臺北市士林區至善路二段360號,士林區,121.5556,25.10364,3.4
學校,臺北市大安國民小學,106臺北市大安區臥龍街129號,大安區,121.5504,25.01893,3.67
學校,臺北市文昌國民小學,111臺北市士林區文林路615巷20號,士林區,121.522,25.09935,3.67
學校,臺北市葫蘆國民小學,111臺北市士林區環河北路三段95號,士林區,121.5069631,25.0837421,3.67
學校,臺北市湖山國民小學,112臺北市北投區湖底路11號,北投區,121.535435,25.1496532,3.67
學校,臺北市至善國民中學,111臺北市士林區至善路二段360號,士林區,121.5556,25.10364,3.74
學校,臺北市濱江國民小學,104臺北市中山區樂群二路266巷99號,中山區,121.5616369,25.0780014,3.78
學校,臺北市中崙高級中學,105臺北市松山區八德路四段101號,松山區,121.5612,25.04872,3.78
學校,臺北市南港高級工業職業學校,115臺北市南港區興中路29號,南港區,121.6073,25.05634,3.78
學校,臺北市古亭國民中學,100臺北市中正區中華路二段465號,中正區,121.511,25.02461,3.96
學校,臺北市長安國民小學,104臺北市中山區吉林路15號,中山區,121.5302,25.0498,3.96
學校,臺北市胡適國民小學,115臺北市南港區舊莊街一段1號,南港區,121.6172346,25.0423894,4
學校,臺北市福德國民小學,110臺北市信義區福德街253號,信義區,121.5865301,25.0388201,4.05
學校,臺北市福星國民小學,108臺北市萬華區中華路一段66號,萬華區,121.5088406,25.0468125,6.48
學校,臺北市內湖國民中學,114臺北市內湖區陽光街1號,內湖區,121.5887,25.07704,8.28
學校,臺北市信義國民小學,110臺北市信義區松勤街60號,信義區,121.563181,25.031566,9.8
學校,臺北市文昌國民小學,111臺北市士林區文林路615巷20號,士林區,121.522,25.09935,10.08
學校,臺北市南湖國民小學,114臺北市內湖區康寧路三段200號,內湖區,121.6118,25.06819,10.56
學校,臺北市南港國民小學,115臺北市南港區惠民街67號,南港區,121.6101226,25.0574484,10.56
學校,臺北市士林國民中學,111臺北市士林區中正路345號,士林區,121.522645,25.0943734,19.89
學校,臺北市萬華國民中學,108臺北市萬華區西藏路201號,萬華區,121.4987891,25.0291092,20
學校,臺北市東湖國民小學,114臺北市內湖區東湖路115號,內湖區,121.6155,25.06884,20
學校,臺北市興雅國民中學,110臺北市信義區松德路168巷15號,信義區,121.572237,25.0364201,20.39
學校,臺北市建國高級中學,100臺北市中正區南海路56號,中正區,121.5122,25.03092,20.7
學校,臺北市南港高級工業職業學校,115臺北市南港區興中路29號,南港區,121.6073,25.05634,23.5
學校,臺北市立農國民小學,112臺北市北投區立農街一段250號,北投區,121.505032,25.119493,24.96
學校,臺北市大同國民小學,103臺北市大同區大龍街51號,大同區,121.5161397,25.0648723,25.92
學校,臺北市芝山國民小學,111臺北市士林區德行東路285號,士林區,121.5364,25.11029,27.6
學校,臺北市成功高級中學,100臺北市中正區濟南路一段71號,中正區,121.5236872,25.0423335,28.8
學校,臺北市石牌國民小學,112臺北市北投區致遠二路80號,北投區,121.5117379,25.1157413,28.8
學校,臺北市萬芳高級中學,116臺北市文山區興隆路三段115巷1號,文山區,121.5589135,25.0006248,30
學校,臺北市萬福國民小學,116臺北市文山區羅斯福路五段170巷32號,文山區,121.5366774,25.0048433,31.05
學校,臺北市忠孝國民中學,103臺北市大同區西寧北路32號,大同區,121.5082,25.05122,32.64
學校,臺北市明湖國民中學,114臺北市內湖區康寧路3段60號,內湖區,121.6106,25.07062,35.4
學校,臺北市麗湖國民小學,114臺北市內湖區金湖路363巷8號,內湖區,121.601146,25.072992,37.52
學校,臺北市螢橋國民小學,100臺北市中正區詔安街29號,中正區,121.5144,25.02514,42.48
學校,臺北市大佳國民小學,104臺北市中山區濱江街107號,中山區,121.5364,25.07335,43.4
學校,臺北市南海實驗幼兒園,108臺北市萬華區西藏路424號,萬華區,121.4976,25.02967,44.64
學校,臺北市健康國民小學,105臺北市松山區延壽街166、168號,松山區,121.5628,25.05659,45.36
學校,臺北市龍安國民小學,106臺北市大安區新生南路三段33號,大安區,121.5348854,25.0239215,48
學校,臺北市龍山國民中學,108臺北市萬華區南寧路46號,萬華區,121.504618,25.0360766,50
