類別,名稱,地址,行政區,經度座標,緯度座標,裝置容量-瓩
機關,臺北捷運北投機廠,臺北市北投區桃源里9鄰大業路527巷88號,北投區,121.4838069,25.1345465,3797.28
機關,長興淨水廠,臺北市大安區學府里9鄰長興街131號,大安區,121.5476408,25.0145256,2136.96
機關,福德坑環保復育公園,臺北市文山區博嘉里1鄰木柵路五段151號,文山區,121.5938041,24.9989605,1996.8
機關,山水綠生態公園,臺北市南港區南深路37號,南港區,121.6223376,25.0290772,980.88
機關,臺北市中山區民族東路336號(濱江果菜市場(第二果菜批發市場)),臺北市中山區民族東路336號,中山區,121.5371776,25.0674465,498.96
機關,洛陽立體停車場,臺北市萬華區福星里18鄰環河南路一段1號,萬華區,121.5058655,25.0483354,497.76
機關,資源回收隊內湖回收場區,臺北市內湖區湖元里18鄰行忠路178巷1號,內湖區,121.5841861,25.0664027,497.76
機關,內湖汙水處理廠,臺北市內湖區湖元里18鄰舊宗路二段2號,內湖區,121.574362,25.066389,395.28
機關,臺北市中山區民族東路336號(濱江果菜市場(第二果菜批發市場)),臺北市中山區民族東路336號,中山區,121.5371776,25.0674465,359.1
機關,臺北市松德辦公大樓,臺北市信義區三犁里23鄰松德路300號,信義區,121.5742751,25.0321882,307.44
機關,興中立體停車場,臺北市南港區南港里14鄰興中路44巷1號,南港區,121.6064258,25.0560795,256.2
機關,臺北花卉批發市場,臺北市內湖區湖元里18鄰新湖三路28號,內湖區,121.574101,25.063163,226.92
機關,峨嵋立體停車場,臺北市萬華區萬壽里5鄰峨眉街83號,萬華區,121.505572,25.0441372,204.96
機關,臺北市立陽明教養院,臺北市士林區陽明里8鄰凱旋路61巷4弄9號,士林區,121.5413437,25.1348725,141.6
機關,臺北市大同區行政中心(蘭州市場),臺北市大同區揚雅里10鄰昌吉街55號,大同區,121.515268,25.0661934,139.08
機關,民生立體停車場,臺北市松山區介壽里16鄰民生東路五段84號,松山區,121.5625699,25.059157,117.12
機關,新生公園夢想館,臺北市中山區新生北路三段105號,中山區,121.5287878,25.0703337,112.44
機關,榮星花園溫水游泳池,臺北市中山區行仁里1鄰建國北路三段39號,中山區,121.5377267,25.0637419,98.82
機關,臺北市文山運動中心,臺北市文山區興得里25鄰興隆路三段222號,文山區,121.559673,24.9970166,98.82
機關,臺北市市場處頂好惠康超市(後港店),臺北市士林區福中里19鄰華齡街175號,士林區,121.5194342,25.0875707,97.6
機關,臺北市立天文科學教育館,臺北市士林區福佳里20鄰基河路363號,士林區,121.5183333,25.0958333,97.6
機關,臺北市立圖書館道藩分館屋頂,臺北市大安區臥龍里5鄰辛亥路三段11號,大安區,121.544049,25.0215769,97.6
機關,新生公園未來館,臺北市中山區新生北路三段105號,中山區,121.5287878,25.0703337,95.76
機關,公館淨水場,臺北市中正區思源街1號,中正區,121.5300049,25.0125415,92.4
機關,景美污水抽水站,臺北市文山區萬年里2鄰汀州路四段10號,文山區,121.5367036,25.0105628,85.4
機關,臺北市政府消防局,臺北市信義區興雅里24鄰松仁路1號,信義區,121.5673818,25.0423074,85.4
機關,臺北市政府警察局信義分局,臺北市信義區西村里8鄰信義路五段17號,信義區,121.5676823,25.0330992,85.4
機關,臺北市立動物園,臺北市文山區新光路二段30號,文山區,121.5810084,24.9983305,85.2
機關,臺北市文山區興隆路1段15號,臺北市文山區萬盛里10鄰興隆路一段15號,文山區,121.5391653,25.0046709,74.4
機關,士東市場,臺北市士林區士東路100號,士林區,121.5292934,25.1120683,60.2
機關,臺北市政府警察局保安警察大隊,臺北市松山區延壽街339號,松山區,121.5596171,25.056803,56.7
機關,內雙溪自然中心,臺北市士林區溪山里5鄰至善路三段150巷27號,士林區,121.5771627,25.1160194,47.58
機關,臺北市立書館太陽分館,臺北市萬華區青年路65號,萬華區,121.5037379,25.0249363,47.32
機關,臺北市政府公務人員訓練處,臺北市文山區萬美街二段21巷20號,文山區,121.56104,25.0045769,45.9
機關,大龍峒公營出租住宅,臺北市大同區承德路三段212號,大同區,121.51806,25.071285,45.36
機關,臺北市政府警察局大同分局,臺北市大同區雙連里23鄰錦西街200號,大同區,121.5167044,25.0601155,45.36
機關,臺北市職能發展學院,臺北市士林區士東路301號,士林區,121.5378987,25.1140103,45
機關,臺北市古亭地政事務所,臺北市文山區萬和里14鄰萬隆街47之12號,文山區,121.5361667,25.0006634,44.8
機關,臺北市政府警察局南港分局,臺北市南港區重陽里10鄰向陽路150號,南港區,121.5947237,25.0552696,40.26
機關,興隆市場,臺北市文山區興隆路二段97號,文山區,121.5474476,24.9997246,39.06
機關,北投機廠工務處,臺北市北投區大業路527巷88號,北投區,121.483955,25.1357899,37.26
機關,信義清潔隊,臺北市信義區松隆里8鄰松山路658號,信義區,121.57859,25.031523,36.6
機關,臺北市大同區公所行政中心,臺北市大同區昌吉街57號,大同區,121.5151063,25.066061,35.64
機關,臺北市士林區公所行政中心,臺北市士林區中正路439號,士林區,121.5195703,25.0927483,30.72
機關,臺北市北投區公所行政中心,臺北市北投區新市街30號,北投區,121.5029288,25.1323774,30.36
機關,抽水站總管理中心,臺北市中山區新庄里20鄰濱江街3號,中山區,121.5291419,25.0711859,26.88
機關,臺北市政府捷運工程局南區工程處,臺北市大安區信義路三段100號,大安區,121.5362106,25.0333339,20.92
機關,臺北市文山區公所,臺北市文山區木柵路三段220號,文山區,121.5700826,24.98964,20.4
機關,臺北市立書館北投分館,臺北市北投區光明路251號,北投區,121.506296,25.136298,16.32
機關,洲美抽水站(臺北市北投區新洲美段0030-000地號),臺北市北投區洲美街2號,北投區,121.51086,25.099769,14.64
機關,臺北市大安區公所行政中心,臺北市大安區新生南路2段86號,大安區,121.5345108,25.0264198,12.3
機關,臺北市政府警察局交通大隊,臺北市中正區愛國西路26號,中正區,121.5112216,25.0349287,11.04
機關,內湖再生傢俱展示場,臺北市內湖區行忠路178巷1號,內湖區,121.5841861,25.0664027,10.84
機關,貓纜遊客中心,臺北市文山區指南路三段38巷35號,文山區,121.5882972,24.9689141,10
機關,民族公園,臺北市中山區新生北路三段158號,中山區,121.5273779,25.0713839,9.24
機關,臺北市立書館石牌分館,臺北市北投區明德路208巷5號,北投區,121.5226242,25.1131424,8.64
機關,舊就業服務處,臺北市大同區承德路3段287之1號,大同區,121.520209,25.074204,8.64
機關,內雙溪自然中心,臺北市士林區至善路三段150巷27號,士林區,121.5778242,25.1145025,7.8
機關,至善老人安養護中心,臺北市士林區仰德大道二段2巷50號,士林區,121.5432482,25.1019103,6.3
機關,臺北市政府消防局-文山中隊,臺北市文山區樟新街2號,文山區,121.5549335,24.9798856,6.195
機關,大安區大安森林公園,臺北市大安區新生南路二段1號,大安區,121.535552,25.0310609,5.712
機關,萬華運動中心,臺北市萬華區西寧南路6-1號,萬華區,121.5067531,25.0474081,5.2
機關,臺北市市政府,臺北市信義區市府路1號,信義區,121.5639969,25.037531,5
機關,康樂里里民活動中心,臺北市中山區南京東路一段35號,中山區,121.5267934,25.0528945,3.82
機關,公共住宅-興隆一區(12號、16號、18號、20號、22號、26號、28號、30號),臺北市文山區木柵路2段2巷12號,文山區,121.557859,24.988296,3.12
機關,公共住宅-興隆一區(32號、36號、38號、40號、42號、46號、48號、50號),臺北市文山區木柵路2段2巷32號,文山區,121.5580362,24.9880713,3.12
機關,二二八和平紀念公園,臺北市中正區凱達格蘭大道3號,中正區,121.5154926,25.0403577,2.16
機關,臺北市政府都市發展局,臺北市南港區南港路2段60巷19號(東明公宅),南港區,121.6042106,25.05483107,10.2
機關,臺北市政府都市發展局,臺北市南港區南港路2段60巷17、19號(東明公宅),南港區,121.6042106,25.05483107,70.2
機關,臺北市政府工務局水利工程處,臺北市北投區洲美街2號,北投區,121.51086,25.09997301,4.88
機關,臺北市停車管理工程處,臺北市信義區信安街49號的景勤2號(公園停車場),信義區,121.5582152,25.02681734,19.2
機關,臺北市立天文科學教育館,臺北市士林區基河路363號,士林區,121.519038,25.09604172,9.76
