,TOWN,STATIONID,NAME,X坐標,Y坐標,年月,total
0,北投區,'001',湖田國小,304329.0934,2784567.876,200007,0.0
1,北投區,'001',湖田國小,304329.0934,2784567.876,200008,0.0
2,北投區,'001',湖田國小,304329.0934,2784567.876,200009,3.0
3,北投區,'001',湖田國小,304329.0934,2784567.876,200010,0.0
4,北投區,'001',湖田國小,304329.0934,2784567.876,200011,2.0
5,北投區,'001',湖田國小,304329.0934,2784567.876,200012,7.0
6,北投區,'001',湖田國小,304329.0934,2784567.876,200101,3.5
7,北投區,'001',湖田國小,304329.0934,2784567.876,200102,2.0
8,北投區,'001',湖田國小,304329.0934,2784567.876,200103,3.0
9,北投區,'001',湖田國小,304329.0934,2784567.876,200104,3.0
10,北投區,'001',湖田國小,304329.0934,2784567.876,200105,70.5
11,北投區,'001',湖田國小,304329.0934,2784567.876,200106,4.5
12,北投區,'001',湖田國小,304329.0934,2784567.876,200107,0.0
13,北投區,'001',湖田國小,304329.0934,2784567.876,200108,0.0
14,北投區,'001',湖田國小,304329.0934,2784567.876,200109,0.0
15,北投區,'001',湖田國小,304329.0934,2784567.876,200110,0.0
16,北投區,'001',湖田國小,304329.0934,2784567.876,200111,0.0
17,北投區,'001',湖田國小,304329.0934,2784567.876,200112,0.0
18,北投區,'001',湖田國小,304329.0934,2784567.876,200202,0.0
19,北投區,'001',湖田國小,304329.0934,2784567.876,200203,0.0
20,北投區,'001',湖田國小,304329.0934,2784567.876,200204,0.0
21,北投區,'001',湖田國小,304329.0934,2784567.876,200205,0.0
22,北投區,'001',湖田國小,304329.0934,2784567.876,200206,0.0
23,北投區,'001',湖田國小,304329.0934,2784567.876,200207,0.0
24,北投區,'001',湖田國小,304329.0934,2784567.876,200208,0.0
25,北投區,'001',湖田國小,304329.0934,2784567.876,200209,0.0
26,北投區,'001',湖田國小,304329.0934,2784567.876,200210,0.0
27,北投區,'001',湖田國小,304329.0934,2784567.876,200211,0.0
28,北投區,'001',湖田國小,304329.0934,2784567.876,200212,0.0
29,北投區,'001',湖田國小,304329.0934,2784567.876,200301,0.0
30,北投區,'001',湖田國小,304329.0934,2784567.876,200302,0.0
31,北投區,'001',湖田國小,304329.0934,2784567.876,200303,0.0
32,北投區,'001',湖田國小,304329.0934,2784567.876,200304,0.0
33,北投區,'001',湖田國小,304329.0934,2784567.876,200305,0.0
34,北投區,'001',湖田國小,304329.0934,2784567.876,200306,0.0
35,北投區,'001',湖田國小,304329.0934,2784567.876,200308,0.0
36,北投區,'001',湖田國小,304329.0934,2784567.876,200309,0.0
37,北投區,'001',湖田國小,304329.0934,2784567.876,200310,0.0
38,北投區,'001',湖田國小,304329.0934,2784567.876,200311,0.0
39,北投區,'001',湖田國小,304329.0934,2784567.876,200312,0.0
40,北投區,'001',湖田國小,304329.0934,2784567.876,200401,0.0
41,北投區,'001',湖田國小,304329.0934,2784567.876,200402,0.0
42,北投區,'001',湖田國小,304329.0934,2784567.876,200403,0.0
43,北投區,'001',湖田國小,304329.0934,2784567.876,200404,0.0
44,北投區,'001',湖田國小,304329.0934,2784567.876,200405,0.0
45,北投區,'001',湖田國小,304329.0934,2784567.876,200406,0.0
46,北投區,'001',湖田國小,304329.0934,2784567.876,200407,0.0
47,北投區,'001',湖田國小,304329.0934,2784567.876,200408,0.0
48,北投區,'001',湖田國小,304329.0934,2784567.876,200409,0.0
49,北投區,'001',湖田國小,304329.0934,2784567.876,200410,0.0
50,北投區,'001',湖田國小,304329.0934,2784567.876,200411,0.0
51,北投區,'001',湖田國小,304329.0934,2784567.876,200412,0.0
52,北投區,'001',湖田國小,304329.0934,2784567.876,200501,0.0
53,北投區,'001',湖田國小,304329.0934,2784567.876,200502,0.0
54,北投區,'001',湖田國小,304329.0934,2784567.876,200503,0.0
55,北投區,'001',湖田國小,304329.0934,2784567.876,200504,0.0
56,北投區,'001',湖田國小,304329.0934,2784567.876,200505,0.0
57,北投區,'001',湖田國小,304329.0934,2784567.876,200506,0.0
58,北投區,'001',湖田國小,304329.0934,2784567.876,200507,0.0
59,北投區,'001',湖田國小,304329.0934,2784567.876,200508,0.0
60,北投區,'001',湖田國小,304329.0934,2784567.876,200509,0.0
61,北投區,'001',湖田國小,304329.0934,2784567.876,200510,0.0
62,北投區,'001',湖田國小,304329.0934,2784567.876,200511,0.0
63,北投區,'001',湖田國小,304329.0934,2784567.876,200512,0.0
64,北投區,'001',湖田國小,304329.0934,2784567.876,200601,0.0
65,北投區,'001',湖田國小,304329.0934,2784567.876,200602,0.0
66,北投區,'001',湖田國小,304329.0934,2784567.876,200603,0.0
67,北投區,'001',湖田國小,304329.0934,2784567.876,200604,0.0
68,北投區,'001',湖田國小,304329.0934,2784567.876,200605,0.0
69,北投區,'001',湖田國小,304329.0934,2784567.876,200606,0.0
70,北投區,'001',湖田國小,304329.0934,2784567.876,200607,0.0
71,北投區,'001',湖田國小,304329.0934,2784567.876,200608,0.0
72,北投區,'001',湖田國小,304329.0934,2784567.876,200609,0.0
73,北投區,'001',湖田國小,304329.0934,2784567.876,200610,0.0
74,北投區,'001',湖田國小,304329.0934,2784567.876,200611,0.0
75,北投區,'001',湖田國小,304329.0934,2784567.876,200612,0.0
76,北投區,'001',湖田國小,304329.0934,2784567.876,200701,170.0
77,北投區,'001',湖田國小,304329.0934,2784567.876,200702,109.5
78,北投區,'001',湖田國小,304329.0934,2784567.876,200703,255.0
79,北投區,'001',湖田國小,304329.0934,2784567.876,200704,237.0
80,北投區,'001',湖田國小,304329.0934,2784567.876,200705,111.5
81,北投區,'001',湖田國小,304329.0934,2784567.876,200706,888.0
82,北投區,'001',湖田國小,304329.0934,2784567.876,200707,42.5
83,北投區,'001',湖田國小,304329.0934,2784567.876,200708,893.5
84,北投區,'001',湖田國小,304329.0934,2784567.876,200709,1483.5
85,北投區,'001',湖田國小,304329.0934,2784567.876,200710,731.5
86,北投區,'001',湖田國小,304329.0934,2784567.876,200711,1238.0
87,北投區,'001',湖田國小,304329.0934,2784567.876,200712,152.5
88,北投區,'001',湖田國小,304329.0934,2784567.876,200801,223.5
