面積,行政區,地址,latlng
308.0,大安區 ,臺北市大安區泰順街16巷,"[121.530517, 25.0254441]"
866.0,中正區 ,台北市中正區南海路93巷10弄,"[121.5079925, 25.0288011]"
112.0,中正區 ,臺北市中正區林森南路99巷,"[121.5222397, 25.0377541]"
688.0,北投區 ,台北市北投區中山路 ,"[121.5087935, 25.1374018]"
598.0,北投區 ,台北市北投區建民路116巷,"[121.5179785, 25.1097932]"
3663.0,中正區 ,台北市中正區寶慶路 ,"[121.5113787, 25.0412698]"
449.0,內湖區 ,台北市內湖區環山路二段50巷 14弄,"[121.573352, 25.0879478]"
207.0,大同區 ,臺北市大同區萬全街 ,"[121.5180122, 25.0584151]"
474.0,大安區 ,台北市大安區新生南路一段,"[121.532767, 25.0390034]"
2356.0,士林區 ,臺北市士林區重慶北路四段,"[121.5112087, 25.0869396]"
725.0,大安區 ,臺北市大安區文昌街 ,"[121.5538113, 25.0324864]"
520.0,士林區 ,臺北市士林區重慶北路四段,"[121.5112087, 25.0869396]"
943.58,士林區 ,台北市士林區至善段二小段1巷 36弄,"[121.5246077, 25.0950492]"
208.0,士林區 ,臺北市士林區延平北路六段116 巷,"[121.5082698, 25.0900152]"
1129.0,大安區 ,臺北市大安區信義路四段30巷,"[121.544626, 25.0321031]"
891.0,內湖區 ,臺北市內湖區環山路二段 ,"[121.5746129, 25.0850186]"
461.0,士林區 ,台北市士林區岩山里至誠路一段,"[121.5346173, 25.1013869]"
1664.0,大安區 ,臺北市大安區和平東路一段,"[121.5286141, 25.026637]"
623.0,大同區 ,台北市大同區承德路三段122巷,"[121.5179864, 25.0672912]"
824.7,大同區 ,台北市大同區重慶北路一段,"[121.5137113, 25.0506439]"
1134.0,大安區 ,台北市大安區和平東路二段,"[121.5407506, 25.0253005]"
1287.0,松山區 ,臺北市松山區南京東路五段,"[121.5639812, 25.0513368]"
1189.0,文山區 ,臺北市文山區溪口街66巷,"[121.5398912, 24.9957891]"
191.0,萬華區 ,臺北市萬華區貴陽街二段 ,"[121.5027651, 25.0400228]"
160.0,文山區 ,臺北市文山區和平東路四段101 巷,"[121.567892, 25.005456]"
482.0,大同區 ,台北市大同區承德路三段221號,"[121.5186657, 25.0700196]"
2167.84,內湖區 ,台北市內湖區成功路二段115巷 1弄,"[121.5929525, 25.0654173]"
244.0,內湖區 ,台北市內湖區麗山街 ,"[121.578156, 25.0831092]"
1646.0,士林區 ,臺北市士林區重慶北路四段,"[121.5112087, 25.0869396]"
526.23,大同區 ,台北市大同區華亭街 ,"[121.5131919, 25.0529372]"
185.0,大同區 ,台北市大同區伊寧街 ,"[121.5111123, 25.0646486]"
2118.0,北投區 ,臺北市北投區光明路 ,"[121.5052942, 25.1362139]"
2252.0,中山區 ,台北市中山區民權東路二段,"[121.5322447, 25.0624759]"
336.0,北投區 ,台北市北投區公館路255巷17弄,"[121.5094678, 25.1260644]"
706.0,中山區 ,臺北市中山區民生東路一段,"[121.5255237, 25.0580554]"
