,面積,行政區,地址,latlng,color,radius
0,308.0,大安區 ,臺北市大安區泰順街16巷,"[121.530517, 25.0254441]",#137600,9.901487006738307
1,866.0,中正區 ,台北市中正區南海路93巷10弄,"[121.5079925, 25.0288011]",#396300,16.602902199168756
2,112.0,中正區 ,臺北市中正區林森南路99巷,"[121.5222397, 25.0377541]",#057d00,5.970821321441846
3,688.0,北投區 ,台北市北投區中山路 ,"[121.5087935, 25.1374018]",#2d6900,14.798554040663838
4,598.0,北投區 ,台北市北投區建民路116巷,"[121.5179785, 25.1097932]",#276c00,13.796713809378915
5,3663.0,中正區 ,台北市中正區寶慶路 ,"[121.5113787, 25.0412698]",#f80400,34.14628988764702
6,449.0,內湖區 ,台北市內湖區環山路二段50巷 14弄,"[121.573352, 25.0879478]",#1c7200,11.954962939989485
7,207.0,大同區 ,臺北市大同區萬全街 ,"[121.5180122, 25.0584151]",#0c7a00,8.117274569709014
8,474.0,大安區 ,台北市大安區新生南路一段,"[121.532767, 25.0390034]",#1e7100,12.283276682185287
9,2356.0,士林區 ,臺北市士林區重慶北路四段,"[121.5112087, 25.0869396]",#9f3000,27.384997568906428
10,725.0,大安區 ,臺北市大安區文昌街 ,"[121.5538113, 25.0324864]",#2f6800,15.191269449366246
11,520.0,士林區 ,臺北市士林區重慶北路四段,"[121.5112087, 25.0869396]",#216f00,12.865501965161373
12,943.58,士林區 ,台北市士林區至善段二小段1巷 36弄,"[121.5246077, 25.0950492]",#3e6100,17.330633064181505
13,208.0,士林區 ,臺北市士林區延平北路六段116 巷,"[121.5082698, 25.0900152]",#0c7a00,8.136857890256438
14,1129.0,大安區 ,臺北市大安區信義路四段30巷,"[121.544626, 25.0321031]",#4b5a00,18.95710583136307
15,891.0,內湖區 ,臺北市內湖區環山路二段 ,"[121.5746129, 25.0850186]",#3b6200,16.840846433293
16,461.0,士林區 ,台北市士林區岩山里至誠路一段,"[121.5346173, 25.1013869]",#1d7100,12.11366408361762
17,1664.0,大安區 ,臺北市大安區和平東路一段,"[121.5286141, 25.026637]",#6f4800,23.014509567006368
